,ID,1_num,1_score,1_mark,2_num,2_score,2_mark,3_num,3_score,3_mark,imp,group1,group2,group3,group4,imp_check
339,sm22122720,103.0,0.7954202999430593,1.0,252.0,0.957343206755692,1.0,457.0,0.9583356766141512,1.0,1,1,7,1,1,1
340,sm19980280,134.0,0.9225809791490874,1.0,380.0,0.9337349503902704,1.0,432.0,0.9367899926302096,1.0,1,1,6,2,1,1
341,sm6167850,452.0,0.9588628307393086,1.0,290.0,1.0022414319000563,1.0,394.0,1.0402196893221192,0.0,0,8,2,0,0,1
342,sm30273018,214.0,1.0044704077034374,1.0,171.0,1.0149762723715874,1.0,174.0,1.0379558435809262,1.0,2,3,2,5,0,1
343,sm12332377,468.0,0.7966302854120048,1.0,264.0,0.8668115636491491,1.0,473.0,0.8759029233624356,1.0,2,2,3,5,0,1
344,sm13476300,215.0,0.9820314322183854,1.0,457.0,1.010095140865496,1.0,462.0,1.016851694592452,0.0,2,0,2,7,1,1
345,sm11509720,0.0,0.9203182483901392,1.0,406.0,0.9624545674119596,1.0,269.0,0.9700977579529888,1.0,1,3,7,0,0,1
346,sm19918800,18.0,0.9475838504649552,1.0,269.0,1.0515568119720542,0.0,402.0,1.060812377801961,1.0,2,2,0,6,2,1
347,sm28074461,161.0,0.977658859148118,1.0,156.0,0.9870106312448956,1.0,331.0,1.000898537363474,1.0,0,0,0,0,0,0
348,sm5505350,374.0,0.7877949038883899,1.0,96.0,1.0004329028698242,0.0,488.0,1.0061599884463863,0.0,0,5,0,3,2,1
349,sm13691461,77.0,0.615450761051639,1.0,264.0,0.6833030657535675,1.0,261.0,0.7255951730464268,1.0,2,2,2,6,0,1
350,sm12359740,125.0,0.9464627402327832,1.0,444.0,0.9580820038839892,1.0,247.0,0.9823838972237364,1.0,3,0,3,2,5,1
351,sm16203010,80.0,0.7867554357581726,1.0,423.0,0.8242723649369896,1.0,215.0,0.8275298077718942,1.0,1,0,5,4,1,1
352,sm21224047,297.0,0.8583659574610272,1.0,114.0,0.8782211786224416,0.0,443.0,0.9043759812865938,1.0,2,0,1,6,3,1
353,sm15874112,68.0,1.0360471437187413,0.0,291.0,1.0454873949428112,1.0,294.0,1.0459595138162576,0.0,0,0,0,0,0,0
354,sm10879860,19.0,0.8029186885265206,1.0,495.0,0.8859883267943939,1.0,498.0,0.8936057809798168,1.0,2,0,0,6,4,1
355,sm30766050,363.0,0.9188096663700592,1.0,196.0,0.9551835647970564,1.0,356.0,1.0219691825695365,1.0,0,6,2,2,0,1
356,sm31159377,363.0,0.7909401390486552,1.0,196.0,0.8619154382610354,1.0,184.0,0.9640035069161134,1.0,1,2,6,2,0,1
357,sm17615260,228.0,1.0051721840819252,1.0,96.0,1.015270374798397,0.0,98.0,1.0306968194821569,1.0,0,7,2,1,0,1
358,sm22477690,212.0,0.6944359158348277,1.0,52.0,0.704350373975603,1.0,465.0,0.7544564451052218,1.0,0,6,2,1,1,1
359,sm11467790,434.0,0.6183214871176437,1.0,416.0,0.6664399495948634,1.0,127.0,0.7971396851708629,1.0,1,2,3,2,3,1
360,nm9262049,262.0,0.8641823844611192,1.0,371.0,0.918954921564071,1.0,188.0,0.928454134261946,0.0,1,3,4,2,1,1
361,sm30692720,476.0,0.8587084236630836,1.0,251.0,0.8612761680684429,1.0,231.0,0.9349793028084216,1.0,0,7,3,0,0,1
362,sm29662049,440.0,0.8099012130028318,1.0,264.0,0.9712152720717632,1.0,382.0,0.9712220741294074,1.0,2,2,1,5,2,1
363,sm29792510,356.0,0.7909401390486552,1.0,196.0,0.7965393952001739,1.0,184.0,0.8344214272192536,1.0,0,6,1,3,0,1
364,sm1660710,68.0,0.8381263921228417,1.0,488.0,0.9102500240229512,1.0,38.0,1.036609633957564,0.0,1,4,5,1,0,1
